A001	ast-grep	structural-patterns	confirmed	0	Does a code-shaped pattern match a call?	ast-grep run -l rust -p println!($$$ARGS) src/main.rs	src/main.rs:2:    println!("hello");	ast-grep run -l rust -p eprintln!($$$ARGS) src/main.rs	1
A002	ast-grep	structural-patterns	confirmed	0	Does a repeated capturing metavariable enforce equality?	ast-grep run -l python -p print($A) src/app.py	src/app.py:7:        print(request) src/app.py:14:    print("start")	ast-grep run -l python -p print($A, $A) src/app.py	1
A003	ast-grep	structural-patterns	recorded	8	Is a bare multi-metavariable accepted as the whole pattern?	ast-grep run -l rust -p $$$A src/main.rs			
A004	ast-grep	structural-patterns	confirmed	0	Does --kind accept an ESQuery-style selector?	ast-grep run -l rust -k function_item src/main.rs	src/main.rs:1:fn main() { src/main.rs:2:    println!("hello"); src/main.rs:3:    helper(1); src/main.rs:4:} src/main.rs:6:fn helper(x: i32) -> i32 { src/main.rs:7:    // helper is called above src/mai	ast-grep run -l rust -k no_such_kind_at_all src/main.rs	8
A005	ast-grep	structural-patterns	confirmed	0	Does the ESQuery direct-child combinator work in --kind?	ast-grep run -l rust -k function_item > identifier src/lib.rs	src/lib.rs:6:    pub fn new() -> Self { src/lib.rs:9:    fn recover(&mut self) {} src/lib.rs:17:    fn visit(&self) {}	ast-grep run -l rust -k function_item > integer_literal src/lib.rs	1
A006	ast-grep	structural-patterns	recorded	0	Does strictness change whether a comment defeats a match?	ast-grep run -l rust -p x + 1 --strictness relaxed src/main.rs	src/main.rs:8:    x + 1	ast-grep run -l rust -p x + 1 --strictness cst src/main.rs	0
A007	ast-grep	code-navigation	confirmed	0	Does outline exit nonzero when it finds nothing?	ast-grep outline --match ZZZ_no_such_symbol src/lib.rs	src/lib.rs nothing found	ast-grep outline no-such-file-at-all.rs	0
A008	ast-grep	code-navigation	confirmed	0	Does --view expanded list members of one item?	ast-grep outline src/lib.rs --match Parser --view expanded	src/lib.rs  1: pub struct Parser  2:   depth: usize  5: impl Parser  6:   pub fn new() -> Self  9:   fn recover(&mut self) 16: impl Visit for Parser 17:   fn visit(&self)	ast-grep outline src/lib.rs --match Parser --view names	0
A009	ast-grep	code-navigation	confirmed	0	Does --match filter members, or only top-level items?	ast-grep outline src/lib.rs --match recover	src/lib.rs nothing found	ast-grep outline src/lib.rs --match Parser	0
A010	ast-grep	machine-output	recorded	0	Must --json take its style with = rather than a space?	ast-grep run -l rust -p helper($$$A) --json=compact src/main.rs	[{"text":"helper(1)","range":{"byteOffset":{"start":39,"end":48},"start":{"line":2,"column":4},"end":{"line":2,"column":13}},"file":"src/main.rs","lines":"    helper(1);","charCount":{"leading":4,"tra	ast-grep run -l rust -p helper($$$A) --json stream src/main.rs	0
A011	ast-grep	debugging-a-query	recorded	0	Does --debug-query show how the pattern parsed?	ast-grep run -l rust -p helper($X) --debug-query=cst src/main.rs	src/main.rs:3:    helper(1);		
A012	ast-grep	code-navigation	confirmed	0	Does --items imports isolate dependency direction?	ast-grep outline src/app.py --items imports	src/app.py 1: import os 2: from typing import Any	ast-grep outline src/app.py --items structure	0
A013	ast-grep	composing-the-two	confirmed	0	Does ast-grep ignore an occurrence that lives inside a comment?	ast-grep run -l rust -p helper($X) src/main.rs	src/main.rs:3:    helper(1);	rg -c helper src/main.rs	0
P001	rg	pcre2-advanced-regex	confirmed	1	Does the default engine reject lookahead, and does -P accept it?	rg -P -c foo(?= bar) docs/quotes.txt		rg -c foo(?= bar) docs/quotes.txt	2
P002	rg	pcre2-advanced-regex	confirmed	0	Does positive lookahead match through -P?	rg -oP he(?= said) docs/quotes.txt	he he	rg -oP he(?= shouted) docs/quotes.txt	1
P003	rg	pcre2-advanced-regex	confirmed	0	Does positive lookbehind match through -P?	rg -oP (?<=said )"hello" docs/quotes.txt	"hello"	rg -oP (?<=shouted )"hello" docs/quotes.txt	1
P004	rg	pcre2-advanced-regex	confirmed	0	Is bounded variable-length lookbehind accepted?	rg -coP (?<=.{0,20}said )\S+ docs/quotes.txt	2	rg -coP (?<=.*said )\S+ docs/quotes.txt	2
P005	rg	pcre2-advanced-regex	confirmed	0	Do numeric backreferences work through -P?	rg -oP (\w+) \1 docs/notes.md	alpha alpha	rg -o (\w+) \1 docs/notes.md	2
P006	rg	pcre2-advanced-regex	confirmed	0	Do named backreferences work, so paired delimiters can be required?	rg -oP (?<q>["'])\w+\k<q> docs/quotes.txt	"hello" 'goodbye' "said"	rg -oP (?<q>["'])zzzz\k<q> docs/quotes.txt	1
P007	rg	output-shaping-and-extraction	confirmed	0	Does \K drop the prefix from the reported match?	rg -oP said \K"hello" docs/quotes.txt	"hello"	rg -oP said "hello" docs/quotes.txt	0
P008	rg	pcre2-advanced-regex	confirmed	0	Are possessive quantifiers accepted?	rg -coP \w++  docs/notes.md	12	rg -coP \w++  does-not-exist.txt	2
P009	rg	pcre2-advanced-regex	confirmed	0	Are atomic groups accepted?	rg -coP (?>\w+)  docs/notes.md	12	rg -co (?>\w+)  docs/notes.md	2
P010	rg	pcre2-advanced-regex	confirmed	0	Is branch reset accepted, reusing capture numbers across alternatives?	rg -oP (?|(?<d>Sat)urday|(?<d>Sun)day) docs/weekend.txt	Saturday Sunday	rg -oP (?|(?<d>Tue)sday|(?<d>Wed)nesday) docs/weekend.txt	1
P011	rg	pcre2-advanced-regex	confirmed	0	Are conditional patterns accepted?	rg -coP (")?\w+(?(1)"|\b) docs/quotes.txt	18	rg -co (")?\w+(?(1)"|\b) docs/quotes.txt	2
P012	rg	pcre2-advanced-regex	confirmed	0	Does whole-pattern recursion match balanced delimiters, and what does the default engine do with the same pattern?	rg -oP \((?:[^()]|(?R))*\) docs/nested.txt	(a(b)c) (x)	rg --engine=default -o \((?:[^()]|(?R))*\) docs/nested.txt	0
P013	rg	pcre2-advanced-regex	confirmed	0	Do subroutine calls return selected capture groups to the caller?	rg -oP (?(DEFINE)(?<day>(?|(?<s>Sat)urday|(?<s>Sun)day)))(?&day(<s>)),\k<s> docs/weekend.txt	Saturday,Sat Sunday,Sun	rg -oP (?(DEFINE)(?<day>(?|(?<s>Sat)urday|(?<s>Sun)day)))(?&day),\k<s> docs/weekend.txt	1
P014	rg	pcre2-advanced-regex	confirmed	0	Are scan-substring assertions accepted?	rg -coP (\w+)(*scs:(1)\w+) docs/notes.md	16	rg -co (\w+)(*scs:(1)\w+) docs/notes.md	2
P015	rg	unicode-and-encodings	confirmed	0	Is the Perl-style extended character class (?[...]) accepted?	rg -oP (?[\p{L} & \p{ASCII}])+ docs/unicode.txt	caf na ve ber	rg -oP (?[\p{Greek} & \p{ASCII}])+ docs/unicode.txt	1
P016	rg	unicode-and-encodings	recorded	1	Is the UTS#18 [A&&[B]] form usable through stock rg?	rg -oP [\p{L}&&[\p{Greek}]]+ docs/unicode.txt			
P017	rg	unicode-and-encodings	confirmed	0	Are script runs accepted?	rg -coP (*sr:\w+) docs/unicode.txt	5	rg -co (*sr:\w+) docs/unicode.txt	2
P018	rg	pcre2-advanced-regex	confirmed	0	Does the (*SKIP)(*F) exclusion idiom work?	rg -coP "[^"]*"(*SKIP)(*F)|said docs/quotes.txt	2	rg -coP said docs/quotes.txt	0
P019	rg	multiline-matching	confirmed	0	Does -U let a pattern cross a line boundary?	rg -U -c start block\n  inner one docs/multiline.txt	1	rg -c start block\n  inner one docs/multiline.txt	2
