# Path map for the 2026-09-13 specification bundle.
#
# MANIFEST.sha256 records sha256 digests against the paths the bundle was delivered
# with. The repository restructure (blueprint §2.3) relocated some of those files.
# scripts/provenance-check.sh resolves each manifest line through this map and verifies
# the digest at the current path, proving no delivered byte was lost or altered.
#
# Files marked in-place are FROZEN CONTRACTS: editing them breaks the manifest, and the
# only legitimate change is an ADR that re-freezes under a new dated bundle directory.
#
# original_path	current_path	disposition
AGENT_HANDOFF.md	docs/blueprint/AGENT_HANDOFF.md	relocated
IMPLEMENTATION_BLUEPRINT.md	docs/blueprint/IMPLEMENTATION_BLUEPRINT.md	relocated
SOURCES.md	docs/blueprint/SOURCES.md	relocated
VALIDATION_REPORT.md	docs/blueprint/VALIDATION_REPORT.md	relocated
README.md	docs/provenance/bundle-2026-09-13/README.bundle.md	superseded-by:README.md
config/service.example.toml	config/service.example.toml	in-place
contracts/examples/error.fixture.json	contracts/examples/error.fixture.json	in-place
contracts/examples/ok.fixture.json	contracts/examples/ok.fixture.json	in-place
contracts/examples/partial.fixture.json	contracts/examples/partial.fixture.json	in-place
contracts/examples/pending.fixture.json	contracts/examples/pending.fixture.json	in-place
contracts/research-envelope.schema.json	contracts/research-envelope.schema.json	in-place
skills/library-research/SKILL.md	skills/library-research/SKILL.md	in-place
skills/library-research/references/evidence-policy.md	skills/library-research/references/evidence-policy.md	in-place
skills/library-research/references/tool-contract.md	skills/library-research/references/tool-contract.md	in-place
tests/ACCEPTANCE_PLAN.md	tests/ACCEPTANCE_PLAN.md	in-place
