DF001	dataflow	shipped analyses	confirmed	0	Can the compiler dump the results of its own dataflow analyses?	sh -c rm -rf df001 && rustc +nightly-2026-09-13 -Zdump-mir=all -Zdump-mir-dataflow=yes -Zdump-mir-dir=df001 --crate-type=lib --emit=metadata owned.rs >/dev/null 2>&1; ls df001 | grep -c 'maybe_uninit.*dot' || true	1	sh -c rm -rf df001c && rustc +nightly-2026-09-13 -Zdump-mir=all -Zdump-mir-dir=df001c --crate-type=lib --emit=metadata owned.rs >/dev/null 2>&1; ls df001c | grep -c 'maybe_uninit.*dot' || true	0
DF002	dataflow	shipped analyses	confirmed	0	Are initialisation and borrow analyses dumped alongside liveness?	sh -c ls df001 | grep -cE 'ever_init|borrows' || true	2	sh -c ls df001 | grep -c 'no_such_analysis' || true	0
DF003	mir	pass pipeline	confirmed	0	Is more than one MIR produced per function during a compilation?	sh -c ls df001 | grep -c 'build.*mir' || true	1	sh -c ls df001 | grep -c 'nonexistent_pass' || true	0
DF004	dataflow	region inference	confirmed	0	Does NLL region inference output require -Zdump-mir-dataflow?	sh -c ls df001c | grep -c regioncx || true	2	sh -c ls df001c | grep -c maybe_uninit || true	0
HI001	hir	inference	recorded	0	Does the semantic layer report inferred bodies for a loaded project?	rust-analyzer analysis-stats . --no-sysroot --disable-build-scripts --disable-proc-macros	bodies: 3	-	-
HI002	hir	structural search	confirmed	1	Does structural search-and-replace resolve its replacement path, or treat it as text?	rust-analyzer ssr old($a) ==>> no_such_function($a)	Failed to resolve path	rust-analyzer ssr old($a) ==>> renamed($a)	101
HI003	hir	exit codes	confirmed	1	Does a failing rust-analyzer subcommand exit non-zero?	rust-analyzer ssr old($a) ==>> no_such_function($a)	exit 1	rust-analyzer --version	0
HI004	hir	self-description	recorded	0	Does the binary emit a machine-readable schema of its own configuration?	rust-analyzer --print-config-schema	"title":	-	-
HI005	hir	outline	confirmed	0	Does the symbol outline carry inferred signatures?	rust-analyzer symbols	SymbolKind(Function)	rust-analyzer symbols	0
HI006	hir	structural search	recorded	101	Does ssr complete a rewrite whose replacement path does resolve?	rust-analyzer ssr old($a) ==>> renamed($a)	exit 101	-	-
