Can I cache a rustdoc Id and use it later?	rustdoc-json	rustdoc_types::Id	rustdoc-json	rustdoc-json: no: an Id is a position in one document. Adding an unrelated item shifts it	rg -P '^RD004\t' content/index/behaviors.tsv	RD004
Can I script these tools and trust the exit code?	cross-layer	-	hir	hir: sometimes: ssr exits 1 on a refused rule, but parse exits 0 on source it could not parse	rg -P '\texit codes\t' content/index/behaviors.tsv	SY004
How do I analyse code that does not compile?	syntax	ra_ap_syntax::SourceFile::parse	hir,mir,rustdoc-json	hir: needs a resolvable program | mir: needs a successful compilation | rustdoc-json: needs rustdoc to succeed	rg -P '^ERROR\t' content/index/syntax-kinds.tsv	SY001
How do I load a real Cargo project into an analysis database?	project-load	ra_ap_load_cargo::load_workspace_at	hir,cargo-metadata	hir: operates on a database; it does not create one | cargo-metadata: describes the project without loading anything	rg -P '^ra_ap_load_cargo::' content/index/symbols.tsv	-
How do I rewrite every occurrence of a pattern?	hir	rust-analyzer ssr	syntax	syntax: can match structurally but will not check that the replacement resolves	rg -P '^HI002\t' content/index/behaviors.tsv	HI002
How do I write my own dataflow analysis?	dataflow	rustc_mir_dataflow::Analysis	dataflow	dataflow: if you remember AnalysisDomain or GenKillAnalysis: both are gone, merged into Analysis and removed respectively	rg -P '^Analysis\tmethod\t.*required$' content/index/dataflow.tsv	-
Is this item deprecated, or gated behind a feature?	rustdoc-json	rustdoc_types::Item::deprecation	rustdoc-json	rustdoc-json: for the feature half: a gated-off item is absent entirely, with no record that it exists	rg -P '^ra_ap_hir\t' content/index/features.tsv	RD005
Is this local initialised at this point?	dataflow	rustc_mir_dataflow::impls::MaybeUninitializedPlaces	mir	mir: gives the graph; whether a fact holds along every path is a fixpoint over it	rg -P 'MaybeUninitializedPlaces' content/index/dataflow.tsv	DF001
Is this local live here?	dataflow	rustc_mir_dataflow::impls::MaybeLiveLocals	mir	mir: the same reason: liveness is derived over the graph, not recorded in it	rg -P 'MaybeLiveLocals' content/index/dataflow.tsv	DF002
What are the call edges out of this function?	mir	rustc_middle::mir::TerminatorKind::Call	rustdoc-json,hir	rustdoc-json: has no call graph of any kind | hir: can resolve a call it is shown, but does not enumerate a body's calls as a graph	rg -P '\tCall\t' content/index/mir-vocabulary.tsv	-
What does this crate expose publicly?	rustdoc-json	rustdoc_types::Crate::index	hir,cargo-metadata	hir: sees every item whether public or not, and has no notion of the documented surface | cargo-metadata: knows the package, not a single item inside it	rg -P '\tstruct\t' content/index/symbols.tsv	-
What does this function do?	mir	rustc -Zunpretty=mir	rustdoc-json,syntax	rustdoc-json: contains no function bodies at all -- the single most common wrong turn | syntax: has the body as text with nothing resolved	rg -P '^MI001\t' content/index/behaviors.tsv	RD002
What does this macro expand to?	mir	rustc -Zunpretty=expanded	syntax	syntax: holds the invocation unexpanded -- MACRO_CALL is as far as it goes	rg -P '^MI007\t' content/index/behaviors.tsv	SY003
What is the crate graph and which features are on?	cargo-metadata	cargo_metadata::Metadata::resolve	cargo-metadata,project-load	cargo-metadata: with --no-deps the resolve field is null, which is not the same as no dependencies | project-load: builds its own graph for analysis, which is not the Cargo view	rg -P '^PL001\t' content/index/behaviors.tsv	PL001
What is the exact signature, generics and bounds of an item?	rustdoc-json	rustdoc_types::ItemEnum	syntax	syntax: has the signature as written, but not the resolved paths in it	rg -P '^ra_ap_hir::semantics::Semantics\t' content/index/methods.tsv	-
What node kinds can appear in a Rust syntax tree?	syntax	ra_ap_syntax::SyntaxKind	rustdoc-json	rustdoc-json: documents the types, not the grammar they encode	rg -P '\tnode\t' content/index/syntax-kinds.tsv	-
What traits does this type implement?	rustdoc-json	rustdoc_types::ItemEnum::Impl	hir	hir: also answers, and is the right choice when the type is local or private rather than a published API	rg -P '^ra_ap_syntax::ast::AstNode\t' content/index/impls.tsv	-
What type does this expression have?	hir	ra_ap_hir::Semantics::type_of_expr	syntax,rustdoc-json,mir	syntax: records the type as written and infers nothing | rustdoc-json: has no expressions | mir: has types, but the expression structure is gone	rg -P 'type_of_expr' content/index/methods.tsv	XL001
Where exactly is this in the file, including comments and whitespace?	syntax	ra_ap_syntax::SyntaxNode::text_range	hir,mir	hir: discards trivia | mir: keeps spans but not the text between them	rg -P '^COMMENT\t' content/index/syntax-kinds.tsv	SY002
Where is this symbol defined, and where is it used?	hir	ra_ap_ide::Analysis	syntax,rustdoc-json	syntax: can find the spelling but cannot tell two different items with the same name apart | rustdoc-json: has no call sites	rg -P '^ra_ap_ide::Analysis\t' content/index/methods.tsv	-
Where is this value dropped?	mir	rustc_middle::mir::TerminatorKind::Drop	syntax,hir	syntax: drops appear nowhere in the source | hir: knows ownership but not drop placement	rg -P '\tDrop\t' content/index/mir-vocabulary.tsv	MI003
Which MIR am I looking at -- before or after optimisation?	mir	rustc_middle::mir::MirPhase	mir	mir: asking for 'the MIR' is ambiguous: built, analysis and runtime differ	rg -P '^MirPhase\t' content/index/mir-vocabulary.tsv	DF003
Which branch runs, and under what condition?	mir	rustc_middle::mir::TerminatorKind::SwitchInt	hir,syntax	hir: has the expression tree, not the graph | syntax: has the if as written	rg -P '\tSwitchInt\t' content/index/mir-vocabulary.tsv	MI001
Which impl does this method call resolve to?	hir	ra_ap_hir::Semantics::resolve_method_call	rustdoc-json,syntax	rustdoc-json: lists impls but cannot resolve a call site | syntax: sees a method name and nothing else	rg -P 'resolve_method_call' content/index/methods.tsv	-
Which layer should I use at all?	cross-layer	content/index/layers.tsv	-	-	rg -P '^mir\t' content/index/layers.tsv	-
Which rust-analyzer version am I actually running?	hir	rust-analyzer --version	hir	hir: the binary reports a rustc release number; there is no published mapping to an ra_ap crate version	rg -P 'rust-analyzer' content/index/version-oracles.tsv	-
Which rustdoc format version am I parsing?	rustdoc-json	rustdoc_types::FORMAT_VERSION	rustdoc-json	rustdoc-json: the toolchain's own version does not tell you: docs.rs serves whatever its fleet built, and rustdoc-types 0.61.0 is itself served at format 60	rg -P 'format_version' content/index/version-oracles.tsv	RD006
